<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,201205150900,40.15,40.15,40.1,40.1,3000
A,201205150905,40,40.11,40,40.11,1200
A,201205150918,40.5,40.5,40.5,40.5,300
A,201205150919,40.5,40.5,40.49,40.49,300
A,201205150920,40.48,40.52,40.48,40.52,2150
A,201205150921,40.73,40.9,40.73,40.9,1545
A,201205150922,40.7,40.7,40.7,40.7,600
A,201205150923,40.7,40.7,40.7,40.7,1900
A,201205150924,40.75,40.75,40.7,40.7,500
A,201205150926,40.7,40.7,40.69,40.7,1700
A,201205150927,40.7,40.7,40.7,40.7,400
A,201205150928,40.7,41,40.7,40.7,7225
A,201205150929,40.65,40.89,40.65,40.89,1165
A,201205150930,40.91,40.97,40.53,40.56,17488
